QB,RB,RB,WR,WR,WR,TE,FLEX,D,SALARY,POINTS,ACTUAL
Lamar Jackson,James Conner,Christian McCaffrey,Allen Lazard,DeSean Jackson,Terry McLaurin,Hale Hentges,Golden Tate,New England Patriots,57700,135.532,0
Lamar Jackson,James Conner,Christian McCaffrey,Miles Boykin,DeSean Jackson,Curtis Samuel,Tyler Eifert,Devonta Freeman,New England Patriots,57600,133.036,0
Kyler Murray,Peyton Barber,Christian McCaffrey,Chris Godwin,Jamison Crowder,Golden Tate,Jake Butt,Sterling Shepard,New England Patriots,59700,128.204,0
Deshaun Watson,Christian McCaffrey,Jonathan Williams,DeSean Jackson,Jarvis Landry,Terry McLaurin,Jeremy Sprinkle,Golden Tate,Baltimore Ravens,58000,127.517,0
Ryan Tannehill,Derrick Henry,James Conner,Sammy Watkins,Keelan Cole,DeSean Jackson,Austin Hooper,Michael Thomas,Pittsburgh Steelers,58200,127.057,0
Lamar Jackson,Jaylen Samuels,Latavius Murray,Michael Thomas,Will Fuller V,Chris Godwin,Irv Smith Jr.,Phillip Lindsay,San Francisco 49ers,59600,126.46500000000002,0
Lamar Jackson,Rex Burkhead,James Conner,Chris Godwin,Phillip Dorsett II,A.J. Brown,Austin Hooper,Aaron Jones,Buffalo Bills,58700,126.036,0
Lamar Jackson,Mark Ingram II,Kerryon Johnson,Chris Godwin,Will Fuller V,Parris Campbell,Antony Auclair,Aaron Jones,New England Patriots,57400,126.028,0
Dak Prescott,Christian McCaffrey,Marlon Mack,Terry McLaurin,DeSean Jackson,Preston Williams,Dallas Goedert,Tevin Coleman,Minnesota Vikings,56200,126.01,0
Matthew Stafford,Christian McCaffrey,Tevin Coleman,Chris Conley,Seth Roberts,Phillip Dorsett II,Austin Hooper,Mark Andrews,New England Patriots,58700,125.66499999999999,0
Lamar Jackson,Boston Scott,Christian McCaffrey,Ted Ginn Jr.,Alshon Jeffery,A.J. Brown,Austin Hooper,Christian Kirk,San Francisco 49ers,58400,124.52900000000001,0
Russell Wilson,Kerryon Johnson,Mark Ingram II,Will Fuller V,Alshon Jeffery,Seth Roberts,Travis Kelce,Aaron Jones,New England Patriots,57700,124.333,0
Lamar Jackson,Phillip Lindsay,J.D. McKissic,Alshon Jeffery,Chris Godwin,Will Fuller V,Daniel Brown,Aaron Jones,Baltimore Ravens,57800,123.36200000000001,0
Lamar Jackson,Leonard Fournette,Todd Gurley II,Michael Gallup,DJ Moore,Julian Edelman,Jason Witten,David Johnson,Minnesota Vikings,59600,122.798,0
Lamar Jackson,Dalvin Cook,Saquon Barkley,Adam Thielen,Chris Godwin,Courtland Sutton,Drew Sample,Larry Fitzgerald,Washington Redskins,59400,122.60400000000001,0
Philip Rivers,James Conner,Christian McCaffrey,Alshon Jeffery,A.J. Brown,Jamison Crowder,Ryan Izzo,Christian Kirk,New England Patriots,59000,121.75,0
Lamar Jackson,Devin Singletary,Dalvin Cook,DeSean Jackson,Preston Williams,DK Metcalf,Adam Shaheen,Demaryius Thomas,New England Patriots,53100,121.69,0
Lamar Jackson,Kareem Hunt,Tevin Coleman,Tyrell Williams,A.J. Brown,Christian Kirk,Austin Hooper,Aaron Jones,Tampa Bay Buccaneers,56700,121.57799999999999,0
Gardner Minshew II,Damien Williams,Dalvin Cook,Adam Thielen,Mike Evans,Brandin Cooks,Jonnu Smith,DeSean Jackson,New England Patriots,56500,121.44399999999999,0
Lamar Jackson,Todd Gurley II,Dalvin Cook,Sammy Watkins,Tyler Boyd,Curtis Samuel,Mike Gesicki,DeSean Jackson,Jacksonville Jaguars,56300,121.119,0
Lamar Jackson,Kerryon Johnson,Mark Ingram II,Randall Cobb,Parris Campbell,Adam Humphries,Mark Andrews,Aaron Jones,New England Patriots,56400,121.11,0
Patrick Mahomes,Chase Edmonds,Christian McCaffrey,Keenan Allen,Chris Godwin,Malik Turner,Drew Sample,DeSean Jackson,Los Angeles Rams,57100,120.44600000000001,0
Lamar Jackson,Devin Singletary,Dalvin Cook,Adam Humphries,Michael Gallup,DeSean Jackson,Adam Shaheen,Demaryius Thomas,New England Patriots,54400,120.41300000000001,0
Lamar Jackson,Ryquell Armstead,Leonard Fournette,Chris Godwin,Mike Evans,Michael Thomas,Irv Smith Jr.,Ben Koyack,San Francisco 49ers,58800,120.11599999999999,0
Philip Rivers,Ezekiel Elliott,Christian McCaffrey,Cole Beasley,Jamison Crowder,DJ Moore,Irv Smith Jr.,Phillip Dorsett II,San Francisco 49ers,59900,119.733,0
